IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP19;IP_PROP18;IC_GROUP0;IC_GROUP1;IC_GROUP2
41;Сёмыч;41;Y;;;/upload/iblock/a47/7nlhwpiib54zedt8097m7hcrl5ewrzmf.webp;Пломбир с фруктовым наполнителем «Клубника» в вафельном сахарном рожке с шоколадной глазурью;text;/upload/iblock/ed8/5qgttvkd6o7t4r4l6bvgm6o9cuw2wm47.png;Пломбир с фруктовым наполнителем «Клубника» в вафельном сахарном рожке с шоколадной глазурью;text;;1;;top;https://www.google.com/;;;
42;22 копейки;42;Y;;;/upload/iblock/8a6/dc3qqee04bd5cm8t7pmgex8lgw3tqm5s.png;"Мороженое пломбир в&nbsp;вафельном стаканчике";text;/upload/iblock/c81/zlii5b6a6b9cz0cwml02er00bbywmk3t.webp;"Мороженое пломбир в&nbsp;вафельном стаканчике";text;;2;;top;https://www.google.com/;;;
43;Варежка;43;Y;;;/upload/iblock/e75/rmt9oxvey90fmv1gvoj5g6ipbzn2yb10.webp;"Мороженое эскимо пломбир ванильный в&nbsp;шоколадной глазури с&nbsp;арахисом";text;/upload/iblock/09a/q0n1s0jpaul8w97gmbs2jbuph1kwo5em.webp;"Мороженое эскимо пломбир ванильный в&nbsp;шоколадной глазури с&nbsp;арахисом";text;;3;;top;https://www.google.com/;;;
44;Молочное;44;Y;;;/upload/iblock/02e/2lmx2sbja22pnc9lwttx4bg9ybbc7gq8.png;"Мороженое эскимо молочное с&nbsp;разными вкусами";text;/upload/iblock/1e0/syr4qdxqmcubiqy16l240zaatd2sa315.webp;"Мороженое эскимо молочное с&nbsp;разными вкусами";text;;6;;new;https://www.google.com/;;;
45;Попробуйте наши новые вкусы;45;Y;;;/upload/iblock/97d/q468lazfkelr8gk9f5or89xpnsptyjrl.png;;text;/upload/iblock/6c9/c9biplh95hngyumii25959gv4taivrpb.webp;;text;;26;;new;https://www.google.com/;;;
